LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID46556,46556,2,142.677490234375,25.065015835168253,14.596893322041362,1.6825140368391094,2.725635294117647,7,0.25,1,,824.5949367088608,731.0,103.0,1742.0,65143.0,417.41083859809225,0.28441176035658733,0.8748834769750489
ID46588,46588,2,149.51458740234375,24.512568583654826,13.94929377917191,2.624288337763425,7.3981529411764715,19,0.25,1,,820.8481012658228,778.0,114.0,2004.0,64847.0,469.21074180021446,0.35439979569613794,0.9155275779598515
ID46591,46591,2,233.609130859375,24.65039864662598,14.380652250357153,2.2579059997972557,5.84064705882353,15,0.25,1,,1442.8481012658228,1376.0,199.0,3288.0,113985.0,711.010333665891,0.28094470014304396,0.8901540207766337
ID46592,46592,3,189.00750732421875,22.171672431569803,13.528328435544879,3.4299479762723935,5.84064705882353,15,0.25,1,,888.6708860759494,843.0,0.0,2282.0,70205.0,516.5981854083051,0.33508058189946727,0.8634950520247587
ID46657,46657,3,177.8052978515625,21.67641850637008,13.366784532407541,4.653770203305748,12.070670588235295,31,0.25,1,,906.5949367088608,810.0,22.0,2114.0,71621.0,525.6146955509926,0.3380188506383089,0.8714740798739113
ID46721,46721,3,191.52020263671875,22.175769702389076,14.016180078634212,5.298294288682648,15.575058823529414,40,0.25,1,,956.0,870.0,83.0,2477.0,75524.0,559.9636206132113,0.35942718021272474,0.9027823128432096
ID46530,46530,3,295.44091796875,22.388853584185654,13.340138136199219,2.436081591799201,1.5575058823529413,4,0.25,1,,1398.2278481012659,1349.0,236.0,3729.0,110460.0,793.8160018893335,0.3886088775280148,0.985872776074507
ID46596,46596,3,187.9091796875,22.472156995120194,14.204926158356058,2.9310734305935906,7.787529411764707,20,0.25,1,,837.3544303797469,815.0,0.0,2304.0,66151.0,514.813086269398,0.370759109031037,0.8798738883627993
ID46727,46727,3,224.203857421875,22.555913434750828,13.76193235298822,5.389872830465332,16.353811764705885,42,0.25,1,,781.6582278481013,585.0,0.0,2909.0,61751.0,671.7865748934519,0.44233292112130324,0.7136730972956994
ID46536,46536,3,230.82135009765625,22.455432073998402,13.065609155877121,3.248472094926939,3.1150117647058826,8,0.25,1,,1082.607594936709,966.0,167.0,2666.0,85526.0,631.0745702964989,0.3865879209956391,0.9565799034157573
ID46664,46664,3,247.423828125,21.83648538251486,13.745766237727059,4.390756978157481,11.291917647058824,29,0.25,1,,1168.126582278481,1004.0,47.0,3094.0,92282.0,677.9589157639351,0.36023559861269916,0.9126179728342524
ID46601,46601,3,288.5791015625,22.18419607547502,13.924207666637798,3.0441238920239626,7.008776470588236,18,0.25,1,,1236.0632911392406,1039.0,57.0,3043.0,97649.0,747.4408362105883,0.3946102964634845,0.9358568607515894
ID46603,46603,3,266.8720703125,22.194638611810586,14.030680266700438,2.6895433357438994,6.619400000000001,17,0.25,1,,1075.607594936709,823.0,8.0,3171.0,84973.0,784.9645332135176,0.41063616387946755,0.7977668793317095
ID46732,46732,3,175.2625732421875,22.341897959319468,13.695980924136835,5.212054874121056,16.74318823529412,43,0.25,1,,755.4430379746835,603.0,55.0,2244.0,59680.0,543.080641573782,0.3606526910239784,0.7374104513179907
ID46542,46542,3,221.38909912109375,22.32921798310645,13.322238899043358,3.392949687813183,2.3362588235294117,6,0.25,1,,995.3164556962025,784.0,0.0,2947.0,78630.0,713.1783238775666,0.4005457802782337,0.7982664862706006
ID46608,46608,3,195.97918701171875,22.59205710846286,14.21710563512325,2.988724032553881,8.176905882352942,21,0.25,1,,1037.8101265822784,1027.0,0.0,2037.0,81987.0,542.462171101013,0.32204514112296606,0.9320708130837705
ID46672,46672,3,226.79339599609375,21.903788684976792,13.443213718098097,4.138962264143247,11.68129411764706,30,0.25,1,,946.9620253164557,847.0,0.0,2608.0,74810.0,593.1002086610611,0.40482247096830826,0.9201902944049954
ID46737,46737,3,145.2613525390625,22.3780171735764,13.813854785584143,5.500354803905753,17.132564705882356,44,0.25,1,,775.0,784.0,50.0,1809.0,61225.0,432.9363368843874,0.28522431749940325,0.7945391023546893
ID46546,46546,3,253.3843994140625,22.346117175569553,13.476455414578757,2.56947027808965,1.1681294117647059,3,0.25,1,,1175.632911392405,1074.0,0.0,3528.0,92875.0,800.9942727990004,0.373652897818055,0.7984793119704908
ID46610,46610,3,196.865478515625,22.441742507998494,14.222373987826007,3.475590317842727,8.955658823529413,23,0.25,1,,939.9746835443038,920.0,163.0,2248.0,74258.0,525.4159518208246,0.34842976649728313,0.9245487535329724
ID46678,46678,3,174.36456298828125,21.8641929387125,13.259070892498169,4.402411549143455,12.849423529411766,33,0.25,1,,782.2151898734177,555.0,120.0,2622.0,61795.0,599.1181697334601,0.35958245160670926,0.6906160843076232
ID46552,46552,3,264.14306640625,22.556822719762852,13.229339461383605,3.4395382611016134,3.8937647058823535,10,0.25,1,,1034.860759493671,898.0,21.0,3625.0,81754.0,737.8154993850083,0.41061306183915197,0.816561689347758
ID46616,46616,3,259.01605224609375,22.4748369142235,14.303014476491592,3.0133096260418717,8.566282352941178,22,0.25,1,,1167.0,1075.0,58.0,2410.0,92193.0,630.6749741958397,0.39139388684153475,1.0410203058756242
ID46745,46745,3,147.1656494140625,22.12407595492186,13.880823699054787,5.699847853795731,17.52194117647059,45,0.25,1,,787.4683544303797,725.0,7.0,2114.0,62210.0,516.3467289511375,0.32094369298926356,0.7410819158175775
ID46683,46683,3,212.6275634765625,21.838600588115405,13.32573696563797,4.507394679054428,13.238800000000001,34,0.25,1,,800.7974683544304,717.0,50.0,2533.0,63263.0,561.8976633659129,0.3702396663662243,0.7701616184283077
ID46622,46622,3,171.48773193359375,22.396047861506826,14.320743436168598,3.849313976307184,9.345035294117647,24,0.25,1,,815.0886075949367,751.0,167.0,1647.0,64392.0,422.34419642415423,0.3774820069771835,1.0577392219868609
ID46559,46559,3,175.13818359375,22.46786796832542,13.16816361914286,3.090993274864497,2.725635294117647,7,0.25,1,,945.7721518987341,899.0,59.0,2247.0,74716.0,526.933970207018,0.32347395084372116,0.8773729396541975
ID46688,46688,3,192.59442138671875,21.975649287164803,13.708285794618869,5.015255414664563,14.406929411764708,37,0.25,1,,892.0632911392405,893.0,55.0,2376.0,70473.0,539.1792276531239,0.41493257330283356,0.9703631518835142
ID46499,46499,3,256.42425537109375,22.61401271431473,13.213396932620583,3.378081918220997,4.283141176470589,11,0.25,1,,1109.4810126582279,1026.0,0.0,3442.0,87649.0,703.0085322595528,0.3377365695642207,0.7968870371956843
ID46627,46627,3,217.4930419921875,22.218691342911,14.312813090273677,4.014209119839276,10.123788235294118,26,0.25,1,,964.2278481012659,922.0,44.0,2631.0,76174.0,573.1822985924015,0.3649654583226053,0.899594927777035
ID46564,46564,3,234.45330810546875,22.510299147619037,13.215528883751695,3.5770492009478003,3.504388235294118,9,0.25,1,,1212.8101265822784,1123.0,0.0,2929.0,95812.0,808.5123419439093,0.3557629915927194,0.787250871450958
ID46694,46694,3,193.51104736328125,22.04049092641456,13.48991622587896,4.364924613975719,13.628176470588237,35,0.25,1,,883.8481012658228,736.0,33.0,2408.0,69824.0,563.5136812346763,0.36622096565313794,0.8408633473060101
ID46505,46505,3,183.68865966796875,22.330634197965484,13.4852573679594,2.899890114643779,1.9468823529411767,5,0.25,1,,954.0506329113924,961.0,62.0,1982.0,75370.0,486.24518714206823,0.36827510074727526,1.056197261200947
ID46633,46633,3,217.2696533203125,22.251639747238766,14.16931461860764,3.5690138793079846,9.734411764705882,25,0.25,1,,930.620253164557,765.0,119.0,2512.0,73519.0,560.3700998584059,0.33392408036242793,0.8314653727783985
ID46570,46570,3,144.59344482421875,22.323852669051455,13.323039597956377,3.2756892337411236,4.672517647058823,12,0.25,1,,804.8101265822785,738.0,158.0,1787.0,63580.0,392.4935431756797,0.3407949037004343,1.0423693969209746
ID46699,46699,3,168.0516357421875,21.656934030284997,13.77816514591403,5.00275822058013,14.796305882352943,38,0.25,1,,699.0886075949367,584.0,0.0,2188.0,55228.0,590.0018294164037,0.31439112519413603,0.5668322118071604
ID46638,46638,3,297.0870361328125,21.615485164873597,14.155127002358457,3.9112622014847287,10.513164705882353,27,0.25,1,,1036.1645569620252,813.0,0.0,3530.0,81857.0,814.5733102072795,0.48687785150794927,0.8330542387996264
ID46511,46511,3,319.2620849609375,22.38180905666963,13.165079000966516,2.549463713319174,0.0,0,0.25,1,,1247.632911392405,1087.0,110.0,4397.0,98563.0,909.4551507417206,0.42077633439435774,0.8125706332559017
ID46575,46575,3,339.4080810546875,22.536195159534916,13.70353469500707,3.007980884598778,5.451270588235294,14,0.25,1,,1354.0,1112.0,114.0,4745.0,106966.0,955.3496339439939,0.43772574067072634,0.8630031013525572
ID46704,46704,3,153.0137939453125,21.908214502464645,13.650347961429024,4.584344530772141,14.017552941176472,36,0.25,1,,749.9113924050633,710.0,5.0,1921.0,59243.0,425.29094686336055,0.3298179470848701,0.8746532279119558
ID46642,46642,3,265.5576171875,21.664632107794326,13.916275026450936,4.287558156633406,10.902541176470589,28,0.25,1,,1082.3417721518988,883.0,64.0,3169.0,85505.0,803.6847175876861,0.3891752577319587,0.7545654010481329
ID46581,46581,3,163.17767333984375,22.347420258501206,13.647706236564467,2.904637131754805,5.061894117647059,13,0.25,1,,996.8987341772151,994.0,0.0,2092.0,78755.0,512.8374960024564,0.34147507036436336,0.9896409696241221
ID46518,46518,3,190.51300048828125,22.43515468456666,13.324427521985733,2.6275685378862716,0.3893764705882353,1,0.25,1,,1065.4683544303798,1050.0,0.0,2315.0,84172.0,547.0881154229189,0.31215423059076625,0.9266113393967539
ID46710,46710,3,159.6220703125,21.971925532427203,14.090289964921839,5.025394929669763,15.185682352941178,39,0.25,1,,682.8101265822785,662.0,163.0,1917.0,53942.0,393.2719772641649,0.3843126331996309,0.9640230675290367
ID46585,46585,3,246.087646484375,21.89302976554246,13.843102007884557,2.65493175420993,6.230023529411765,16,0.25,1,,1126.873417721519,934.0,200.0,3430.0,89023.0,698.3961546999725,0.40329867524361507,0.9274275025728865
ID46523,46523,3,193.8055419921875,22.296674756206833,13.430234565852416,2.773699813969561,0.7787529411764706,2,0.25,1,,959.9620253164557,907.0,0.0,2217.0,75837.0,521.3608289122329,0.3300874803585739,0.9138912043231305
ID46651,46651,3,215.67388916015625,21.684539550509133,13.22790856881473,4.692556701625518,12.46004705882353,32,0.25,1,,1134.3164556962026,1074.0,0.0,2809.0,89611.0,617.5440302853902,0.36410364832637043,0.9805595200047237
ID46589,46589,3,202.6844482421875,22.289641620602787,14.04375977092106,2.9607590331876095,7.3981529411764715,19,0.25,1,,929.8354430379746,866.0,137.0,2702.0,73457.0,512.6220537684047,0.40145030420832956,1.0391850613832199
ID46656,46656,10,144.7364501953125,25.319634331597236,14.36313802083334,2.0,12.070670588235295,31,0.25,1,,895.8481012658228,864.0,90.0,2103.0,70772.0,469.6515917748018,0.3732665675685847,1.0369380727040196
ID46609,46609,10,156.40576171875,25.319634331597236,14.455209418402784,2.5,8.955658823529413,23,0.25,1,,785.3291139240506,639.0,104.0,2249.0,62041.0,473.34926990648216,0.3707129854001611,0.8974107216169795
ID46625,46625,10,187.705078125,25.17946187762126,14.405757899364797,2.0944659855025347,10.123788235294118,26,0.25,1,,1128.6708860759493,1057.0,0.0,2431.0,89165.0,625.7393518464415,0.23217741229671132,0.6797521244230436
ID46641,46641,10,183.05517578125,25.319634331597236,14.455209418402784,2.0,10.902541176470589,28,0.25,1,,1139.6835443037974,1109.0,196.0,2138.0,90035.0,516.6656545309474,0.3603594714608404,1.1686566566403003
ID46594,46594,10,214.38299560546875,25.13916709870257,14.41103414378397,2.34445662630737,7.787529411764707,20,0.25,1,,1069.9493670886077,925.0,81.0,3305.0,84526.0,742.568979766279,0.232757485652177,0.5441046376615879
ID46612,46612,10,193.06134033203125,25.108476879489277,14.297285742892436,2.396558054883884,8.566282352941178,22,0.25,1,,931.7848101265823,811.0,205.0,2409.0,73611.0,550.5305988581653,0.23473275005853877,0.6435241934895719
ID46662,46662,10,184.997314453125,25.102178612468304,14.39374167303022,2.501779602462702,11.291917647058824,29,0.25,1,,1029.5443037974683,1023.0,86.0,2365.0,81334.0,541.8931865009115,0.22851106388956577,0.7067885503971363
ID46631,46631,10,197.21282958984375,25.13014147669399,14.47935358588412,1.8759423556647874,9.734411764705882,25,0.25,1,,1066.7721518987341,966.0,0.0,2698.0,84275.0,628.6258915461826,0.25540691229350354,0.6904902208513698
ID46620,46620,10,188.5179443359375,25.22756293402779,14.455209418402784,2.5,9.345035294117647,24,0.25,1,,1056.26582278481,880.0,38.0,2347.0,83445.0,628.3470319297221,0.2908974017249171,0.7576205932025193
ID46606,46606,10,310.3055419921875,25.139404878248808,14.381101300824582,1.9859753599964471,8.176905882352942,21,0.25,1,,1437.26582278481,1208.0,221.0,4511.0,113544.0,894.1298980495916,0.26083313468404756,0.6650765330417548
ID46670,46670,10,283.75030517578125,25.038519270746402,14.519513502078548,2.1432459625745297,11.68129411764706,30,0.25,1,,1221.240506329114,935.0,0.0,3063.0,96478.0,797.4022279941264,0.34129069705268994,0.7793908259322878
ID46753,46753,18,208.9742431640625,24.31132960557613,8.297049034705294,1.042463321133008,19.07944705882353,49,0.25,1,,1028.0886075949368,993.0,170.0,2404.0,81219.0,441.7991825355293,0.31313701501793684,1.1098390416167843
ID46690,46690,18,237.02117919921875,25.032974714151095,6.90576738206337,1.0638907054698183,13.628176470588237,35,0.25,1,,1166.5316455696202,1115.0,0.0,2509.0,92156.0,703.4117559045294,0.3143447633840764,0.7932568461365016
ID46660,46660,18,168.8167724609375,24.902724332865713,7.452305842143852,1.1059675617624785,11.291917647058824,29,0.25,1,,887.253164556962,893.0,0.0,1954.0,70093.0,465.3645240176954,0.2521680523967706,0.7679124787549
ID46725,46725,18,236.6165771484375,24.827156087433096,7.615048086324149,1.0337302021912964,16.353811764705885,42,0.25,1,,1124.367088607595,1098.0,110.0,2593.0,88825.0,640.6013836615616,0.35470578543449505,0.9191227900046244
ID46758,46758,18,245.6383056640625,24.396777111514844,8.053068467991936,0.9515442481637383,18.300694117647062,47,0.25,1,,1211.6835443037974,1132.0,0.0,2481.0,95723.0,554.7332124845517,0.34587193194926874,1.1226557908898407
ID46697,46697,18,182.9981689453125,24.68784943170764,7.4524546384718375,1.3070326559392829,14.796305882352943,38,0.25,1,,920.506329113924,828.0,178.0,2095.0,72720.0,459.0401042034574,0.3189332335484982,0.9698020765704771
ID46667,46667,18,149.6595458984375,25.319634331597236,7.457783203125004,1.0,11.68129411764706,30,0.25,1,,926.0759493670886,902.0,308.0,1746.0,73160.0,343.63504687355777,0.3498156868242881,1.3968313073955738
ID46764,46764,18,166.9345703125,24.089734310978855,7.958095029058445,0.9622947878770793,18.690070588235294,48,0.25,1,,786.620253164557,683.0,100.0,2066.0,62143.0,410.8549342778396,0.2908249019828459,0.8627219899912214
ID46701,46701,18,271.90869140625,25.058373757478552,7.160011526595695,0.7840480093191912,14.017552941176472,36,0.25,1,,1390.3164556962026,1280.0,0.0,3922.0,109835.0,946.8396358453684,0.33258246113528644,0.7329468434675943
ID46734,46734,18,183.82208251953125,24.601079487956575,7.903565626559643,1.0450115711516113,17.132564705882356,44,0.25,1,,938.8481012658228,821.0,0.0,2578.0,74169.0,581.2615168664947,0.32434705476645337,0.7911555985421418
ID46768,46768,18,229.60296630859375,24.301719462269006,8.845255995689236,0.9666096586681252,19.8582,51,0.25,1,,1221.3037974683543,1108.0,0.0,3439.0,96483.0,816.004310484316,0.37230148469501456,0.8120943429131287
ID46674,46674,18,236.8619384765625,24.777210538912605,7.3476835214642975,1.0100481234242427,12.849423529411766,33,0.25,1,,1242.6835443037974,1099.0,0.0,2740.0,98172.0,677.1602572187086,0.33099887658348814,0.9127417425991405
ID46706,46706,18,198.61114501953125,24.65465667260662,7.611645553652162,0.9564202277685389,15.185682352941178,39,0.25,1,,923.3164556962025,796.0,82.0,2434.0,72942.0,538.107117929845,0.4014703171001993,0.9830630477590838
ID46739,46739,18,156.24017333984375,24.749737683784193,8.324585947232825,0.9561647114127718,17.52194117647059,45,0.25,1,,979.9240506329114,869.0,193.0,1895.0,77414.0,466.3250151973049,0.27838092359937777,0.9151934210646508
ID46647,46647,18,312.3525390625,24.868417693289278,7.32151602573164,1.0876273099394438,12.46004705882353,32,0.25,1,,1504.5949367088608,1401.0,62.0,3627.0,118863.0,774.1471654796576,0.380362974941835,1.0711024121506123
ID46680,46680,18,248.5489501953125,24.903656380880182,7.07342960514072,1.4883516411583921,13.238800000000001,34,0.25,1,,1253.139240506329,1276.0,0.0,3394.0,98998.0,766.567051513488,0.3591622365763896,0.8639697653978688
ID46712,46712,18,219.2589111328125,24.769041075650712,7.705542883723131,1.0354386787852337,15.964435294117648,41,0.25,1,,1163.7215189873418,1018.0,231.0,2804.0,91934.0,567.6349480736596,0.31587125724294846,0.9842527637843567
ID46685,46685,18,274.7801513671875,24.81630387226237,7.345580311849085,1.0830035913125073,14.406929411764708,37,0.25,1,,1536.620253164557,1384.0,42.0,3716.0,121393.0,959.8317601484537,0.3614083401349524,0.8499848715785314
